about_1(1) 	 231 	 236 	 0.98
about_3(2) 	 16 	 17 	 0.94
above_4(2) 	 7 	 16 	 0.44
above_9(3) 	 18 	 22 	 0.82
across_1(1) 	 97 	 104 	 0.93
across_2(2) 	 17 	 27 	 0.63
after_1(1) 	 39 	 48 	 0.81
after_1(1)-1 	 9 	 12 	 0.75
against_1(1) 	 36 	 41 	 0.88
against_10(4) 	 33 	 36 	 0.92
against_2(1a) 	 8 	 11 	 0.73
among_1(1) 	 15 	 22 	 0.68
among_2(2) 	 21 	 27 	 0.78
among_3(3) 	 28 	 31 	 0.9
around_1(1) 	 21 	 35 	 0.6
around_2(1a) 	 11 	 12 	 0.92
around_3(2) 	 72 	 81 	 0.89
around_4(3) 	 6 	 18 	 0.33
around_5(4) 	 22 	 30 	 0.73
as_1(1) 	 83 	 83 	 1.0
at_1(1) 	 101 	 112 	 0.9
at_11(6)-1 	 35 	 35 	 1.0
at_2(2) 	 23 	 29 	 0.79
at_5(3) 	 21 	 23 	 0.91
at_9(5) 	 68 	 70 	 0.97
before_1(1) 	 51 	 53 	 0.96
behind_1(1) 	 37 	 45 	 0.82
behind_2(1a) 	 10 	 14 	 0.71
behind_3(2) 	 17 	 18 	 0.94
behind_6(3a) 	 8 	 10 	 0.8
below_1(1) 	 9 	 16 	 0.56
below_3(1b) 	 36 	 37 	 0.97
beneath_1(1) 	 24 	 31 	 0.77
beneath_2(1a) 	 23 	 34 	 0.68
beneath_6(2c) 	 11 	 13 	 0.85
beside_1(1) 	 67 	 70 	 0.96
besides_1(1) 	 52 	 52 	 1.0
between_1(1) 	 32 	 37 	 0.86
between_4(4) 	 21 	 27 	 0.78
between_5(4a) 	 20 	 31 	 0.65
between_7(4c) 	 10 	 10 	 1.0
beyond_3(1b) 	 6 	 12 	 0.5
despite_1(1) 	 39 	 39 	 1.0
during_1(1) 	 48 	 63 	 0.76
during_2(1a) 	 18 	 27 	 0.67
except_1(1) 	 22 	 22 	 1.0
for_1(1) 	 11 	 18 	 0.61
for_12(10) 	 33 	 37 	 0.89
for_2(2) 	 27 	 45 	 0.6
for_2(2)-1 	 31 	 37 	 0.84
for_3(3) 	 22 	 31 	 0.71
for_5(4) 	 81 	 96 	 0.84
for_6(5) 	 80 	 95 	 0.84
from_1(1) 	 99 	 124 	 0.8
from_10(7) 	 74 	 83 	 0.89
from_12(9) 	 17 	 21 	 0.81
from_12(9)-1 	 24 	 31 	 0.77
from_13(10) 	 26 	 34 	 0.76
from_14(11) 	 8 	 10 	 0.8
from_4(3) 	 78 	 121 	 0.64
from_6(4) 	 19 	 24 	 0.79
in_1(1) 	 153 	 177 	 0.86
in_2(1a) 	 32 	 49 	 0.65
in_3(2) 	 41 	 45 	 0.91
in_5(4) 	 31 	 41 	 0.76
in_6(4a) 	 40 	 47 	 0.85
in_6(4a)-1 	 12 	 21 	 0.57
in_7(5) 	 59 	 84 	 0.7
in_9(7) 	 9 	 14 	 0.64
including_1(1) 	 31 	 31 	 1.0
inside_1(1) 	 27 	 39 	 0.69
inside_2(1a) 	 12 	 16 	 0.75
into_1(1) 	 58 	 76 	 0.76
into_2(2) 	 11 	 16 	 0.69
into_3(3) 	 78 	 93 	 0.84
into_4(4) 	 10 	 11 	 0.91
into_5(5) 	 14 	 14 	 1.0
into_6(6) 	 32 	 46 	 0.7
into_7(7) 	 20 	 32 	 0.62
near_1(1) 	 58 	 58 	 1.0
of_11(6) 	 37 	 46 	 0.8
of_12(6a) 	 153 	 182 	 0.84
of_13(6b) 	 33 	 35 	 0.94
of_14(7) 	 16 	 17 	 0.94
of_15(7a) 	 4 	 8 	 0.5
of_16(7b) 	 13 	 15 	 0.87
of_17(8) 	 8 	 19 	 0.42
of_2(1a) 	 43 	 47 	 0.91
of_3(1b) 	 188 	 210 	 0.9
of_3(1b)-1 	 48 	 60 	 0.8
of_6(3) 	 162 	 204 	 0.79
of_9(5) 	 100 	 137 	 0.73
off_1(1) 	 9 	 21 	 0.43
off_4(3) 	 39 	 45 	 0.87
on_1(1) 	 36 	 53 	 0.68
on_11(5) 	 24 	 38 	 0.63
on_11(5)-1 	 10 	 15 	 0.67
on_17(8) 	 36 	 37 	 0.97
on_2(1a) 	 31 	 44 	 0.7
on_5(1d) 	 30 	 38 	 0.79
on_7(2) 	 15 	 17 	 0.88
on_8(3) 	 67 	 71 	 0.94
on_9(3a) 	 36 	 44 	 0.82
onto_1(1) 	 49 	 53 	 0.92
over_11(4) 	 15 	 21 	 0.71
over_14(5) 	 29 	 31 	 0.94
over_16(7) 	 49 	 49 	 1.0
over_2(1a) 	 17 	 21 	 0.81
over_6(2b) 	 34 	 37 	 0.92
per_1(1) 	 58 	 58 	 1.0
since_1(1) 	 52 	 52 	 1.0
than_1(1) 	 12 	 12 	 1.0
than_2(2) 	 39 	 39 	 1.0
through_1(1) 	 13 	 27 	 0.48
through_1(1) 3(1b) 	 15 	 22 	 0.68
through_10(3) 	 8 	 13 	 0.62
through_12(5) 	 35 	 42 	 0.83
through_13(5a) 	 10 	 18 	 0.56
through_2(1a) 	 14 	 22 	 0.64
through_3(1b) 	 29 	 46 	 0.63
through_4(1c) 	 23 	 27 	 0.85
to_1(1) 	 139 	 148 	 0.94
to_10(4a) 	 11 	 18 	 0.61
to_13(5) 	 33 	 34 	 0.97
to_14(6) 	 33 	 42 	 0.79
to_3(1b) 	 11 	 13 	 0.85
to_6(2a) 	 35 	 44 	 0.8
to_8(3) 	 126 	 138 	 0.91
to_8(3)-1 	 30 	 37 	 0.81
toward_1(1) 	 14 	 14 	 1.0
toward_2(1a) 	 18 	 23 	 0.78
towards_1(1) 	 62 	 67 	 0.93
towards_2(1a) 	 21 	 29 	 0.72
towards_4(2) 	 6 	 12 	 0.5
towards_4(2)-1 	 5 	 14 	 0.36
under_1(1) 	 8 	 15 	 0.53
under_11(4c) 	 23 	 25 	 0.92
under_2(1a) 	 23 	 38 	 0.61
until_1(1) 	 64 	 64 	 1.0
unto_1(1) 	 16 	 17 	 0.94
up_1(1) 	 32 	 42 	 0.76
up_3(2) 	 13 	 14 	 0.93
upon_11(5)-1 	 7 	 8 	 0.88
upon_8(3) 	 10 	 13 	 0.77
upon_9(3a) 	 14 	 14 	 1.0
via_1(1) 	 20 	 23 	 0.87
via_2(1a) 	 21 	 32 	 0.66
via_3(1b) 	 8 	 12 	 0.67
with_1(1) 	 77 	 90 	 0.86
with_1(1)-1 	 3 	 12 	 0.25
with_11(7b) 	 25 	 28 	 0.89
with_2(2) 	 30 	 46 	 0.65
with_4(3) 	 41 	 57 	 0.72
with_5(3a) 	 95 	 101 	 0.94
with_6(4) 	 27 	 35 	 0.77
with_7(5) 	 18 	 24 	 0.75
with_9(7) 	 78 	 89 	 0.88
without_2(1a) 	 38 	 54 	 0.7
without_3(2) 	 11 	 18 	 0.61